code,name,text,type_code,traits,pack_code,illustrator,image_url,xp,faction_code
60401,Jacqueline Fine,"[reaction] When an investigator at your location would reveal any number of chaos tokens: Reveal 2 additional tokens. Of the revealed tokens, choose and cancel 2 non-[auto_fail] tokens, or 1 [auto_fail] token. (Limit once per round.) [elder_sign] effect: +1. If this effect is canceled or ignored, draw 1 card.",investigator,Clairvoyant,jac,Aleksander Karcz,https://arkhamdb.com/bundles/cards/60401.jpg,0,mystic
60402,Arbiter of Fates,"Jacqueline Fine deck only. [reaction] When you use Jacqueline Fine's [reaction] ability, exhaust Arbiter of Fates: This use of her ability does not count towards its limit.",asset,Talent,jac,Pavel Kolomeyets,https://arkhamdb.com/bundles/cards/60402.jpg,0,mystic
60403,Dark Future,"Revelation - Put Dark Future into play in your threat area. You cannot cancel or ignore [elder_sign], [skull], [cultist], [tablet], [elder_thing], and [auto_fail] tokens. Forced - At the end of your turn: Reveal 5 random tokens from the chaos bag. If an [elder_sign] symbol is revealed, discard Dark Future.",treachery,Omen|Endtimes,jac,Matt Bradbury,https://arkhamdb.com/bundles/cards/60403.jpg,0,neutral
60404,Nihilism,"Revelation - Put Nihilism into play in your threat area. Forced - After you reveal, cancel, or ignore an [auto_fail] token: Take 1 damage and 1 horror. [action][action]: Discard Nihilism.",treachery,Madness,jac,Sara Biddle,https://arkhamdb.com/bundles/cards/60404.jpg,0,neutral
60406,Scrying Mirror,"Uses (4 secrets). [reaction] After a skill test at your location begins, exhaust Scrying Mirror and spend 1 secret: Perform the ""reveal chaos token"" step of the test now (before committing cards) , instead of after committing cards.",asset,Item|Charm,jac,Drazenka Kimpel,https://arkhamdb.com/bundles/cards/60406.jpg,0,mystic
60407,Azure Flame,"Uses (4 charges). [action] Spend 1 charge: Fight. This attack uses [willpower] instead of [combat] and deals +1 damage. If an [elder_sign], ""+1,"" or ""0"" token is revealed during this attack, take 1 damage.",asset,Spell,jac,Greg Bobrowski,https://arkhamdb.com/bundles/cards/60407.jpg,0,mystic
60408,Clairvoyance,"Uses (3 charges). [action] Spend 1 charge: Investigate. Investigate using [willpower] instead of [intellect]. If you succeed, discover 1 additional clue at this location. If an [elder_sign], ""+1,"" or ""0"" token is revealed during this investigation, take 1 horror.",asset,Spell,jac,Stanislav Dikolenko,https://arkhamdb.com/bundles/cards/60408.jpg,0,mystic
60409,Ineffable Truth,"Uses (3 charges). [action] Spend 1 charge: Evade. This evasion attempt uses [willpower] instead of [agility]. If you succeed, deal 1 damage to the evaded enemy. If an [elder_sign], ""+1,"" or ""0"" token is revealed during this evasion attempt, lose 1 resource.",asset,Spell,jac,Romana Kendelic,https://arkhamdb.com/bundles/cards/60409.jpg,0,mystic
60410,Familiar Spirit,"You have 1 additional arcane slot, which can only be used to hold a [[Spell]] asset.",asset,Ally|Creature|Summon,jac,Carlos Palma Cruchaga,https://arkhamdb.com/bundles/cards/60410.jpg,0,mystic
60411,Crystal Pendulum,"You get +1 [willpower]. [reaction] After a skill test at your location begins, exhaust Crystal Pendulum: Name a number. If this test succeeds by that number or fails by that number, draw 1 card.",asset,Item|Charm,jac,Drazenka Kimpel,https://arkhamdb.com/bundles/cards/60411.jpg,0,mystic
60412,Robes of Endless Night,"[reaction] When you play a [[Spell]] card, exhaust Robes of Endless Night: Reduce the cost of that card by 1.",asset,Item|Clothing,jac,Greg Bobrowski,https://arkhamdb.com/bundles/cards/60412.jpg,0,mystic
